sentence1,sentence2,label
I can't cut that tree down with that axe; it is too small.,The axe is too small.,1 (entailment)
Fred watched TV while George went out to buy groceries. After an hour he got back.,George got back.,1 (entailment)
Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.,He will be moving out of The old house on Thursday.,1 (entailment)
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","Tatyana was careful not to disturb her, undressing and climbing back into her berth.",1 (entailment)
Carol believed that Rebecca regretted that she had stolen the watch.,Carol believed that Rebecca regretted that Rebecca had stolen the watch.,1 (entailment)
James asked Robert for a favor but he was refused.,Robert was refused.,0 (not entailment)
The foxes are getting in at night and attacking the chickens. I shall have to kill them.,I shall have to kill The chickens.,0 (not entailment)
"Jackson was greatly influenced by Arnold, though he lived two centuries later.",Arnold lived two centuries later.,0 (not entailment)
"The dog chased the cat, which ran up a tree. It waited at the bottom.",The cat waited at the bottom.,0 (not entailment)
"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.","Each artisan still had signs, not wishing to lose a possible patron merely because the artisan happened to be illiterate.",0 (not entailment)
