sentence1,sentence2,label,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,gpt4_icl_evaluation,annotator1_evaluation,annotator2_evaluation
I can't cut that tree down with that axe; it is too small.,The axe is too small.,1 (entailment),The axe is too small to cut down that tree.,The axe is not large enough to chop down the tree.,0.37,0.67,0.54,0.64,No,No,No
Fred watched TV while George went out to buy groceries. After an hour he got back.,George got back.,1 (entailment),"After an hour, George got back.",George returned from buying groceries after an hour.,0.18,0.67,0.47,0.71,No,No,No
Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.,He will be moving out of The old house on Thursday.,1 (entailment),"On Thursday, Joe will be moving out of his house.",Joe will no longer be living in his old house after Thursday.,0.43,0.57,0.66,0.69,No,No,No
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","Tatyana was careful not to disturb her, undressing and climbing back into her berth.",1 (entailment),Tatyana was careful not to disturb her mother.,Tatyana did not wake her mother when she arrived at the cabin.,0.23,0.64,0.45,0.52,No,No,No
Carol believed that Rebecca regretted that she had stolen the watch.,Carol believed that Rebecca regretted that Rebecca had stolen the watch.,1 (entailment),Carol believed that Rebecca regretted that Rebecca had stolen the watch.,"According to Carol, Rebecca felt remorse for taking the watch.",0.38,1,0.62,0.92,Yes (exact match),Yes (exact match),Yes (exact match)
James asked Robert for a favor but he was refused.,Robert was refused.,0 (not entailment),James was refused a favor by Robert.,Robert agreed to do the favor for James.,0.18,0.4,0.37,0.46,No,No,No
The foxes are getting in at night and attacking the chickens. I shall have to kill them.,I shall have to kill The chickens.,0 (not entailment),I will have to kill the chickens.,I am planning to build a stronger fence to keep the foxes out.,0.3,0.86,0.41,0.82,Yes (near-exact match),Yes (near-exact match),Yes (near-exact match)
"Jackson was greatly influenced by Arnold, though he lived two centuries later.",Arnold lived two centuries later.,0 (not entailment),"Arnold was greatly influenced by Jackson, though he lived two centuries later.",Jackson and Arnold were contemporaries.,0.2,0.59,0.4,0.59,Yes (near-exact match),No,No
"The dog chased the cat, which ran up a tree. It waited at the bottom.",The cat waited at the bottom.,0 (not entailment),The dog ran up the tree.,The dog climbed the tree after the cat.,0.29,0.33,0.44,0.43,No,No,No
"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.","Each artisan still had signs, not wishing to lose a possible patron merely because the artisan happened to be illiterate.",0 (not entailment),Each artisan did not have signs over their shops' doors.,All the patrons visiting the shops were literate.,0.07,0.2,0.35,0.41,No,No,No
