sentence1,sentence2,label,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,gpt4_icl_evaluation,annotator1_evaluation,annotator2_evaluation
"Only a week after it had no comment on upping the storage capacity of its Hotmail e-mail service, Microsoft early Thursday announced it was boosting the allowance to 250MB to follow similar moves by rivals such as Google, Yahoo, and Lycos.",Microsoft's Hotmail has raised its storage capacity to 250MB.,1 (entailment),"Microsoft has increased the storage capacity of its Hotmail e-mail service to 250MB, in line with other companies like Google, Yahoo, and Lycos.","Microsoft's decision to increase the storage capacity of its Hotmail e-mail service to 250MB was influenced by the actions of its competitors, including Google, Yahoo, and Lycos.",0.31,0.35,0.61,0.7,No,No,No
"Although they were born on different planets, Oscar-winning actor Nicolas Cage's new son and Superman have something in common - both were named Kal-el.",Nicolas Cage's son is called Kal-el.,1 (entailment),Both Oscar-winning actor Nicolas Cage's new son and Superman were named Kal-el.,Both Nicolas Cage's new son and Superman were named Kal-el.,0.6,0.52,0.64,0.59,No,No,No
"Sharon sent dismissal letters to Benny Elon and Avigdor Lieberman, who oppose his withdrawal plan, on Friday.","On Friday,Sharon fired Benny Elon and Avigdor Lieberman.",1 (entailment),"Sharon's withdrawal plan was opposed by Benny Elon and Avigdor Lieberman, so he sent them dismissal letters on Friday.","Sharon's withdrawal plan was opposed by Benny Elon and Avigdor Lieberman, so he sent them dismissal letters on Friday.",0.41,0.41,0.54,0.54,No,No,No
Britain agreed to lift by March 31 a 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982.,The military protection zone around Falklands was lifted.,1 (entailment),A 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982 will be lifted by Britain by March 31.,The 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982 will no longer be in effect after March 31.,0.3,0.31,0.45,0.48,No,No,No
"On Tuesday, October 7, 2003, Arnold Schwarzenegger was elected Governor of California.",Arnold Schwarzenegger was elected Governor of California.,1 (entailment),"Arnold Schwarzenegger won the election for Governor of California on Tuesday, October 7, 2003.",Arnold Schwarzenegger assumed office as Governor of California.,0.67,0.48,0.86,0.71,Yes (near-exact match),No,No
"Jacques Santer succeeded Jacques Delors as president of the European Commission in 1995, the second Luxembourger to hold this high office.",Jacques Delors succeeded Jacques Santer in the presidency of the European Commission.,0 (not entailment),"Jacques Santer was the second Luxembourger to hold the high office of president of the European Commission, succeeding Jacques Delors in 1995.",Jacques Santer was the first Luxembourger to hold the high office of president of the European Commission.,0.48,0.41,0.55,0.58,No,No,No
"The Jurassic Park Institute is an absolutely accurate way for kids to get excited about dinosaur science! Written by two noted paleontologists and illustrated in big bold colors, this kid-friendly nonfiction guide uses easy-to-understand text to describe at least 100 dinosaurs alphabetically.",Michael Crichton is the author of the book Jurassic Park.,0 (not entailment),"The Jurassic Park Institute is a reliable resource for children to learn about dinosaur science, with its easy-to-understand text and colorful illustrations provided by two renowned paleontologists.",The Jurassic Park Institute is a fictional theme park where dinosaurs come to life.,0.25,0.15,0.32,0.32,No,No,No
"In the year 538, Cyrus set in place a policy which demanded the return of the various gods to their proper places.",Cyrus issued a declaration in 538 that would allow the Jews to go back to their homeland.,0 (not entailment),Cyrus did not set in place a policy which demanded the return of the various gods to their proper places.,Cyrus believed that the return of the various gods to their proper places would restore order and harmony in the empire.,0.26,0.27,0.4,0.36,No,No,No
"Macedonia seems confident it can weather the storm, but some fear Athens may soon take things up a notch.",Greece and Macedonia are in dispute over name.,0 (not entailment),"Some fear Athens may soon take things up a notch, but Macedonia seems confident it can weather the storm.",Athens is not likely to escalate the situation.,0.0,0.07,0.31,0.35,No,No,No
"Witnesses allegedly hear and see documents being shredded all night long by Jorge Alvarez Aguirre and Rosario Piazza, two ex-Opel men who had followed their leader to VW.","People leaving GM with Lopez included Jose Gutierrez, Jorge Alvarez Aguirre, and Rosario Piazza.",0 (not entailment),"Jorge Alvarez Aguirre and Rosario Piazza, two ex-Opel men who had followed their leader to VW, were allegedly heard and seen shredding documents all night long, according to witnesses.",Jorge Alvarez Aguirre and Rosario Piazza were seen shredding documents all night long.,0.44,0.27,0.29,0.35,No,No,No
