summary,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,gpt4_icl_evaluation,annotator1_evaluation,annotator2_evaluation
Gabriella asked Jasmine to check her CV which is in English. She's applying for a perfect job. Jasmine checked it and did only minor corrections. She hopes Gabriella will get the job.,Gabriella asked Jasmine to check her CV which is in English. She's applying for a perfect job.,Jasmine checked it and did only minor corrections. She hopes Gabriella will get the job.,Jasmine agrees to help Gabriella and promises to review her CV and provide feedback to improve her chances of getting the perfect job.,"Jasmine, being asked by Gabriella, reviewed her English CV as she is currently in the process of applying for an ideal job.",0.22,0.21,0.67,0.74,No,No,No
"Henry and Lily take William with them to Riehen. They will meet with him for a coffee before they start, and eat a meal together afterwards.",Henry and Lily take William with them to Riehen.,"They will meet with him for a coffee before they start, and eat a meal together afterwards.","They visit the Fondation Beyeler, an art museum located in Riehen.",Henry and Lily decide to bring their son William along as they head to Riehen.,0.06,0.07,0.69,0.52,No,No,No
Will gived Rob the number of the car mechanic who fixed Will's father's car.,Will gived Rob the number of the car,mechanic who fixed Will's father's car.,that he needs to pick up from the rental agency.,"Will gave Rob the number of the car, allowing him to have access to its information and details.",0.15,0.0,0.54,0.52,No,No,No
"During early lunchtime, Shelly will come to Porter to take a look at wool fall coats which have arrived today.","During early lunchtime, Shelly will come to Porter",to take a look at wool fall coats which have arrived today.,to discuss the upcoming project and share her ideas with the team.,"and meet with her colleagues to discuss the upcoming project. They will gather in the conference room and review the project timeline, assign tasks, and brainstorm ideas. Shelly will share her research findings and propose a strategy for the project. Together, they will analyze the potential challenges and come up with solutions. After a productive discussion, they will finalize the project plan and set deadlines for each task. Shelly will leave the meeting feeling confident and motivated to work towards the project's success.",0.04,0.08,0.44,0.53,No,No,No
"Roger can do as many rows of tile in a day as he wants. He should make a level ledger, mark a center line and do the bottom row when the ledger row dries.",Roger can do as many rows of tile in a day as he wants.,"He should make a level ledger, mark a center line and do the bottom row when the ledger row dries.",He is a hard worker and always gives his best effort.,"Roger has the freedom to choose the number of rows of tile he completes in a day, allowing him to work at his own pace.",0.09,0.19,0.63,0.61,No,No,No
"There was an emergency at school today. Three engines and ambulance came, but it was a drill.",There was an emergency at school today.,"Three engines and ambulance came, but it was a drill.",A student collapsed during gym class and had to be rushed to the hospital.,The emergency at school today caused quite a commotion.,0.11,0.08,0.55,0.49,No,No,No
Liz and Jerry will go to Madrid at the end of March. They will spend two nights in Berlin first.,Liz and Jerry will go to Madrid at the end of March.,They will spend two nights in Berlin first.,They plan to visit the Prado Museum and explore the city's vibrant nightlife.,Liz and Jerry have made plans to visit Madrid at the end of March.,0.0,0.09,0.64,0.58,No,No,No
"Louise is already back from her honeymoon, which she enjoyed a lot. Louise and her new husband relaxed and didn't do much during the trip.","Louise is already back from her honeymoon, which she enjoyed a lot.",Louise and her new husband relaxed and didn't do much during the trip.,She is excited to share all the details of her trip with her friends and family.,"She and her husband traveled to a tropical paradise for their honeymoon and had a wonderful time. Louise is now back home, reminiscing about the beautiful beaches, clear blue waters, and the delicious local cuisine they experienced during their trip. She can't help but smile as she looks through the photos they took, reliving the special moments they shared. Despite the initial sadness of leaving their honeymoon behind, Louise is grateful for the memories they created and excited for the next chapter of their lives together.",0.12,0.13,0.59,0.61,No,No,No
Logan likes Daisy's dress and doesn't think it looks like a bathrobe.,Logan likes Daisy's dress and doesn't,think it looks like a bathrobe.,understand why she doesn't wear it more often.,think it suits her style. He compliments her on the color choice but suggests that she try something more tailored and sophisticated.,0.14,0.13,0.6,0.6,No,No,No
"Tom and the other people are waiting for Christie at the cinema. Christie is almost there, stuck in traffic, due to accident.",Tom and the other people are waiting for Christie at the cinema.,"Christie is almost there, stuck in traffic, due to accident.",Christie arrives late and apologizes for keeping everyone waiting.,"Christie finally arrives at the cinema, joining Tom and the rest of the group who have been patiently waiting for her.",0.06,0.11,0.59,0.59,No,No,No
