summary,first_piece,second_piece
Gabriella asked Jasmine to check her CV which is in English. She's applying for a perfect job. Jasmine checked it and did only minor corrections. She hopes Gabriella will get the job.,Gabriella asked Jasmine to check her CV which is in English. She's applying for a perfect job.,Jasmine checked it and did only minor corrections. She hopes Gabriella will get the job.
"Henry and Lily take William with them to Riehen. They will meet with him for a coffee before they start, and eat a meal together afterwards.",Henry and Lily take William with them to Riehen.,"They will meet with him for a coffee before they start, and eat a meal together afterwards."
Will gived Rob the number of the car mechanic who fixed Will's father's car.,Will gived Rob the number of the car,mechanic who fixed Will's father's car.
"During early lunchtime, Shelly will come to Porter to take a look at wool fall coats which have arrived today.","During early lunchtime, Shelly will come to Porter",to take a look at wool fall coats which have arrived today.
"Roger can do as many rows of tile in a day as he wants. He should make a level ledger, mark a center line and do the bottom row when the ledger row dries.",Roger can do as many rows of tile in a day as he wants.,"He should make a level ledger, mark a center line and do the bottom row when the ledger row dries."
"There was an emergency at school today. Three engines and ambulance came, but it was a drill.",There was an emergency at school today.,"Three engines and ambulance came, but it was a drill."
Liz and Jerry will go to Madrid at the end of March. They will spend two nights in Berlin first.,Liz and Jerry will go to Madrid at the end of March.,They will spend two nights in Berlin first.
"Louise is already back from her honeymoon, which she enjoyed a lot. Louise and her new husband relaxed and didn't do much during the trip.","Louise is already back from her honeymoon, which she enjoyed a lot.",Louise and her new husband relaxed and didn't do much during the trip.
Logan likes Daisy's dress and doesn't think it looks like a bathrobe.,Logan likes Daisy's dress and doesn't,think it looks like a bathrobe.
"Tom and the other people are waiting for Christie at the cinema. Christie is almost there, stuck in traffic, due to accident.",Tom and the other people are waiting for Christie at the cinema.,"Christie is almost there, stuck in traffic, due to accident."
