sentence1,sentence2,label,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,gpt4_icl_evaluation,annotator1_evaluation,annotator2_evaluation
"Only a week after it had no comment on upping the storage capacity of its Hotmail e-mail service, Microsoft early Thursday announced it was boosting the allowance to 250MB to follow similar moves by rivals such as Google, Yahoo, and Lycos.",Microsoft's Hotmail has raised its storage capacity to 250MB.,1 (entailment),Microsoft has increased the storage capacity of its Hotmail e-mail service to 250MB.,Microsoft has increased the storage capacity of its Hotmail e-mail service to 250MB.,0.5,0.5,0.83,0.83,Yes (near-exact match),Yes (near-exact match),Yes (near-exact match)
"Although they were born on different planets, Oscar-winning actor Nicolas Cage's new son and Superman have something in common - both were named Kal-el.",Nicolas Cage's son is called Kal-el.,1 (entailment),Nicolas Cage's new son is named Kal-el.,"Nicolas Cage's new son and Superman share the same name, Kal-el.",0.57,0.82,0.62,0.87,Yes (near-exact match),Yes (near-exact match),Yes (near-exact match)
"Sharon sent dismissal letters to Benny Elon and Avigdor Lieberman, who oppose his withdrawal plan, on Friday.","On Friday, Sharon fired Benny Elon and Avigdor Lieberman.",1 (entailment),Benny Elon and Avigdor Lieberman received dismissal letters from Sharon.,Benny Elon and Avigdor Lieberman received dismissal letters from Sharon on Friday.,0.48,0.53,0.6,0.51,No,No,No
Britain agreed to lift by March 31 a 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982.,The military protection zone around Falklands was lifted.,1 (entailment),The UK has agreed to remove a military protection zone around the Falkland Islands.,"The UK committed to removing a military protection zone around the islands by the end of March, which had been in place since the Argentine invasion in 1982.",0.28,0.45,0.47,0.71,Yes (near-exact match),No,No
"On Tuesday, October 7, 2003, Arnold Schwarzenegger was elected Governor of California.",Arnold Schwarzenegger was elected Governor of California.,1 (entailment),Arnold Schwarzenegger was elected Governor of California.,Arnold Schwarzenegger became the Governor of California in 2003.,0.63,1,0.8,0.98,Yes (exact match),Yes (exact match),Yes (exact match)
"Jacques Santer succeeded Jacques Delors as president of the European Commission in 1995, the second Luxembourger to hold this high office.",Jacques Delors succeeded Jacques Santer in the presidency of the European Commission.,0 (not entailment),Jacques Santer was the first Luxembourger to serve as president of the European Commission.,Jacques Santer was the first person from Luxembourg to become president of the European Commission.,0.52,0.54,0.57,0.58,No,No,No
"The Jurassic Park Institute is an absolutely accurate way for kids to get excited about dinosaur science! Written by two noted paleontologists and illustrated in big bold colors, this kid-friendly nonfiction guide uses easy-to-understand text to describe at least 100 dinosaurs alphabetically.",Michael Crichton is the author of the book Jurassic Park.,0 (not entailment),The Jurassic Park Institute is a fictional organization.,The Jurassic Park Institute is a fictional organization featured in a popular movie series.,0.25,0.33,0.34,0.32,No,No,No
"In the year 538, Cyrus set in place a policy which demanded the return of the various gods to their proper places.",Cyrus issued a declaration in 538 that would allow the Jews to go back to their homeland.,0 (not entailment),Cyrus implemented a policy in 538 that required the physical relocation of deities.,Cyrus destroyed all the gods in the year 538.,0.23,0.4,0.34,0.43,No,No,No
"Macedonia seems confident it can weather the storm, but some fear Athens may soon take things up a notch.",Greece and Macedonia are in dispute over name.,0 (not entailment),Athens is planning to escalate the situation with Macedonia.,Athens has already escalated the situation with Macedonia.,0.12,0.12,0.46,0.47,No,No,No
"Witnesses allegedly hear and see documents being shredded all night long by Jorge Alvarez Aguirre and Rosario Piazza, two ex-Opel men who had followed their leader to VW.","People leaving GM with Lopez included Jose Gutierrez, Jorge Alvarez Aguirre, and Rosario Piazza.",0 (not entailment),Jorge Alvarez Aguirre and Rosario Piazza were seen shredding documents during the day.,Jorge Alvarez Aguirre and Rosario Piazza have never worked for VW.,0.48,0.44,0.36,0.31,No,No,No
