summary,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,gpt4_icl_evaluation,annotator1_evaluation,annotator2_evaluation
Gabriella asked Jasmine to check her CV which is in English. She's applying for a perfect job. Jasmine checked it and did only minor corrections. She hopes Gabriella will get the job.,Gabriella asked Jasmine to check her CV which is in English. She's applying for a perfect job.,Jasmine checked it and did only minor corrections. She hopes Gabriella will get the job.,Jasmine agreed to check it and asked Gabriella to send it to her.,Jasmine agreed to review Gabriella's English CV to ensure it's well-prepared for her dream job application.,0.18,0.29,0.7,0.69,No,No,No
"Henry and Lily take William with them to Riehen. They will meet with him for a coffee before they start, and eat a meal together afterwards.",Henry and Lily take William with them to Riehen.,"They will meet with him for a coffee before they start, and eat a meal together afterwards.",They plan to visit the Fondation Beyeler museum and have lunch at the Landgasthof restaurant.,"There, they explore the local attractions and enjoy their time together.",0.21,0.12,0.67,0.57,No,No,No
Will gived Rob the number of the car mechanic who fixed Will's father's car.,Will gived Rob the number of the car,mechanic who fixed Will's father's car.,dealer he knows.,Rob then used the car number for further reference.,0.12,0,0.46,0.58,No,No,No
"During early lunchtime, Shelly will come to Porter to take a look at wool fall coats which have arrived today.","During early lunchtime, Shelly will come to Porter",to take a look at wool fall coats which have arrived today.,'s office to discuss the new project.,'s cafe to enjoy her favorite meal.,0.11,0.11,0.49,0.54,No,No,No
"Roger can do as many rows of tile in a day as he wants. He should make a level ledger, mark a center line and do the bottom row when the ledger row dries.",Roger can do as many rows of tile in a day as he wants.,"He should make a level ledger, mark a center line and do the bottom row when the ledger row dries.",He will start on Monday and will work for 5 days.,"Therefore, Roger has the flexibility to determine his daily workload based on his capacity and schedule.",0.06,0.13,0.55,0.55,No,No,No
"There was an emergency at school today. Three engines and ambulance came, but it was a drill.",There was an emergency at school today.,"Three engines and ambulance came, but it was a drill.",A student had a severe allergic reaction and had to be taken to the hospital.,"A fire broke out in the chemistry lab, causing panic and immediate evacuation.",0.09,0.08,0.5,0.5,No,No,No
Liz and Jerry will go to Madrid at the end of March. They will spend two nights in Berlin first.,Liz and Jerry will go to Madrid at the end of March.,They will spend two nights in Berlin first.,They will stay there for a week. Liz will book the flights and Jerry will book the hotel.,They will continue their journey in Spain's capital city.,0.33,0.15,0.61,0.59,No,No,No
"Louise is already back from her honeymoon, which she enjoyed a lot. Louise and her new husband relaxed and didn't do much during the trip.","Louise is already back from her honeymoon, which she enjoyed a lot.",Louise and her new husband relaxed and didn't do much during the trip.,She is now looking for a job and is considering teaching French. She also plans to start a family soon.,She is now settling back into her daily routine after having a wonderful time.,0.07,0.06,0.65,0.57,No,No,No
Logan likes Daisy's dress and doesn't think it looks like a bathrobe.,Logan likes Daisy's dress and doesn't,think it looks like a bathrobe.,understand why she's upset. Daisy explains that she's upset because Logan didn't notice her new haircut. Logan apologizes and promises to pay more attention next time.,hesitate to compliment her on her fashion sense.,0,0,0.58,0.53,No,No,No
"Tom and the other people are waiting for Christie at the cinema. Christie is almost there, stuck in traffic, due to accident.",Tom and the other people are waiting for Christie at the cinema.,"Christie is almost there, stuck in traffic, due to accident.",Christie is running late because she is stuck in traffic.,They continue to anticipate her arrival as the movie is about to start.,0.17,0.5,0.58,0.69,No,No,No
