summary,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,gpt4_icl_evaluation,annotator1_evaluation,annotator2_evaluation
Clean-up operations are continuing across the Scottish Borders and Dumfries and Galloway after flooding caused by Storm Frank.,Clean-up operations are continuing across the Scottish Borders and Dumfries,and Dumfries and Galloway after flooding caused by Storm Frank.,and Galloway after Storm Ali caused widespread damage and disruption.,and Galloway after severe weather conditions caused widespread damage.,0.42,0.4,0.72,0.65,No,No,No
"An armed man who locked himself into a room at a psychiatric hospital in Istanbul has ended his threat to kill himself, Turkish media report.",An armed man who locked himself into a room at a psychiatric,"hospital in Istanbul has ended his threat to kill himself, Turkish media report.",hospital in Darlington has been arrested after a stand-off with police.,hospital was safely apprehended by the police without any injuries.,0.09,0.24,0.53,0.37,No,No,No
Lewis Hamilton stormed to pole position at the Bahrain Grand Prix ahead of Mercedes team-mate Nico Rosberg.,Lewis Hamilton stormed to pole position at the Bahrain,Grand Prix ahead of Mercedes team-mate Nico Rosberg.,"Grand Prix, beating his Mercedes team-mate Valtteri Bottas by 0.294 seconds.","Grand Prix, securing his dominance in the race.",0.24,0.45,0.6,0.67,No,No,No
"A jogger has been hit by an unmarked police car responding to an emergency call, leaving him with ""serious life-changing injuries"".",A jogger has been hit by an unmarked,"police car responding to an emergency call, leaving him with ""serious life-changing injuries"".",police car responding to an emergency call in Brighton.,police car during a morning run.,0.2,0.61,0.56,0.64,No,No,No
Newport Gwent Dragons number eight Ed Jackson has undergone shoulder surgery and faces a spell on the sidelines.,Newport Gwent Dragons number eight Ed Jackson,has undergone shoulder surgery and faces a spell on the sidelines.,has been forced to retire from rugby after suffering a spinal injury.,has been selected for the upcoming rugby match.,0.21,0.17,0.45,0.64,No,No,No
A 13ft-deep hole causing widespread disruption to trains in south London has been found to have opened above an active sewer.,A 13ft-deep hole causing widespread disruption to,trains in south London has been found to have opened above an active sewer.,"traffic in Manchester city centre will take ""at least a week"" to repair, according to United Utilities.",traffic and local businesses in the downtown area.,0.09,0.13,0.47,0.4,No,No,No
The blue badge disabled parking scheme could be extended to people with temporary conditions restricting their mobility.,The blue badge disabled parking scheme could be,extended to people with temporary conditions restricting their mobility.,"extended to people with ""hidden disabilities"" such as autism and mental health conditions, the Department for Transport has said.",expanded to include individuals with invisible disabilities.,0.25,0.36,0.69,0.62,No,No,No
"A boyfriend of a young soldier who died at Deepcut barracks asked her to end a love triangle at the Surrey base on the day she died, an inquest has heard.",A boyfriend of a young soldier who died at Deepcut,"barracks asked her to end a love triangle at the Surrey base on the day she died, an inquest has heard.","barracks has told an inquest she was ""upset and down"" the night before she died.",is seeking justice for her unexplained death.,0.07,0.22,0.4,0.4,No,No,No
Celtic player Callum McGregor has been given a 12-month driving ban after he was caught behind the wheel at almost four times the legal alcohol limit.,Celtic player Callum McGregor has been given a 12-month,driving ban after he was caught behind the wheel at almost four times the legal alcohol limit.,driving ban after admitting causing a crash while under the influence of alcohol.,contract extension with the club.,0.09,0.33,0.52,0.74,No,No,No
Three news organisations have asked a US judge to force the government to reveal the amount it paid for technology to unlock an iPhone used by the San Bernardino gunman.,Three news organisations have asked a US judge to force the government,to reveal the amount it paid for technology to unlock an iPhone used by the San Bernardino gunman.,to reveal how much it paid for technology to unlock an iPhone used by the San Bernardino gunman.,to disclose the details of its investigation into Russian interference in the 2016 election.,0.19,0.89,0.45,0.89,Yes (near-exact match),Yes (near-exact match),Yes (near-exact match)
