summary,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,gpt4_icl_evaluation,annotator1_evaluation,annotator2_evaluation
Clean-up operations are continuing across the Scottish Borders and Dumfries and Galloway after flooding caused by Storm Frank.,Clean-up operations are continuing across the Scottish Borders and Dumfries,and Dumfries and Galloway after flooding caused by Storm Frank.,and Galloway after severe flooding caused by heavy rain.,as authorities work to restore the affected areas after severe flooding and ensure the safety of residents.,0.15,0.63,0.61,0.75,No,No,No
"An armed man who locked himself into a room at a psychiatric hospital in Istanbul has ended his threat to kill himself, Turkish media report.",An armed man who locked himself into a room at a psychiatric,"hospital in Istanbul has ended his threat to kill himself, Turkish media report.",hospital in the US has been shot dead by police.,"hospital was eventually apprehended by the police after a tense standoff, highlighting the potential dangers and challenges faced by mental health professionals in ensuring the safety of both patients and staff.",0.09,0.26,0.51,0.46,No,No,No
Lewis Hamilton stormed to pole position at the Bahrain Grand Prix ahead of Mercedes team-mate Nico Rosberg.,Lewis Hamilton stormed to pole position at the Bahrain,Grand Prix ahead of Mercedes team-mate Nico Rosberg.,"Grand Prix, beating his teammate by over half a second.","Grand Prix, securing his spot at the front of the grid for the race.",0.26,0.21,0.57,0.63,No,No,No
"A jogger has been hit by an unmarked police car responding to an emergency call, leaving him with ""serious life-changing injuries"".",A jogger has been hit by an unmarked,"police car responding to an emergency call, leaving him with ""serious life-changing injuries"".",police car in a hit-and-run incident.,"police car, causing controversy and raising questions about accountability and safety measures.",0.15,0.18,0.6,0.57,No,No,No
Newport Gwent Dragons number eight Ed Jackson has undergone shoulder surgery and faces a spell on the sidelines.,Newport Gwent Dragons number eight Ed Jackson,has undergone shoulder surgery and faces a spell on the sidelines.,suffers a life-changing injury while diving into a swimming pool.,"suffers a life-changing spinal injury while diving into a swimming pool, but defies the odds and makes a remarkable recovery, inspiring others with his resilience and determination.",0.1,0.09,0.56,0.55,No,No,No
A 13ft-deep hole causing widespread disruption to trains in south London has been found to have opened above an active sewer.,A 13ft-deep hole causing widespread disruption to,trains in south London has been found to have opened above an active sewer.,road and rail services in the area.,traffic and infrastructure as authorities work to repair the damage and ensure public safety.,0.07,0.1,0.46,0.49,No,No,No
The blue badge disabled parking scheme could be extended to people with temporary conditions restricting their mobility.,The blue badge disabled parking scheme could be,extended to people with temporary conditions restricting their mobility.,expanded to include people with hidden disabilities.,expanded to include more accessible parking spaces and improved enforcement measures to ensure that individuals with disabilities have equal access to parking facilities.,0.12,0.38,0.64,0.69,No,No,No
"A boyfriend of a young soldier who died at Deepcut barracks asked her to end a love triangle at the Surrey base on the day she died, an inquest has heard.",A boyfriend of a young soldier who died at Deepcut,"barracks asked her to end a love triangle at the Surrey base on the day she died, an inquest has heard.",barracks is calling for a public inquiry into her death.,seeks justice and uncovers a web of corruption and cover-ups surrounding the mysterious deaths at the military training camp.,0.15,0.13,0.46,0.46,No,No,No
Celtic player Callum McGregor has been given a 12-month driving ban after he was caught behind the wheel at almost four times the legal alcohol limit.,Celtic player Callum McGregor has been given a 12-month,driving ban after he was caught behind the wheel at almost four times the legal alcohol limit.,extension to his contract.,"contract extension by the club, securing his future with the team.",0.14,0.0,0.51,0.51,No,No,No
Three news organisations have asked a US judge to force the government to reveal the amount it paid for technology to unlock an iPhone used by the San Bernardino gunman.,Three news organisations have asked a US judge to force the government,to reveal the amount it paid for technology to unlock an iPhone used by the San Bernardino gunman.,to release documents related to the killing of journalist Jamal Khashoggi.,"to release documents related to the killing of journalist Jamal Khashoggi, arguing that the public has a right to know the truth about his death.",0.19,0.21,0.46,0.48,No,No,No
