sentence1,sentence2,label,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,gpt4_icl_evaluation,annotator1_evaluation,annotator2_evaluation
I can't cut that tree down with that axe; it is too small.,The axe is too small.,1 (entailment),The axe is not strong enough to cut down the tree.,The axe is not suitable for cutting down the tree.,0.4,0.37,0.5,0.49,No,No,No
Fred watched TV while George went out to buy groceries. After an hour he got back.,George got back.,1 (entailment),"After an hour, George returned home.",George went out to buy groceries for an hour.,0.17,0.22,0.41,0.6,No,No,No
Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.,He will be moving out of The old house on Thursday.,1 (entailment),Joe will be moving into his new house on Thursday.,Joe will no longer be living in his current house after Thursday.,0.35,0.57,0.66,0.74,No,No,No
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","Tatyana was careful not to disturb her, undressing and climbing back into her berth.",1 (entailment),Tatyana made sure not to wake her mother up as she undressed and got back into her own bed.,"Tatyana wanted to avoid waking her mother up, so she quietly undressed and climbed back into her berth.",0.5,0.48,0.67,0.64,No,No,No
Carol believed that Rebecca regretted that she had stolen the watch.,Carol believed that Rebecca regretted that Rebecca had stolen the watch.,1 (entailment),Rebecca regretted that she had stolen the watch.,Rebecca did steal the watch.,0.37,0.74,0.43,0.68,No,No,No
James asked Robert for a favor but he was refused.,Robert was refused.,0 (not entailment),James asked Robert for a favor but Robert refused him.,James asked Robert for a favor and he was granted.,0.31,0.31,0.51,0.55,No,No,No
The foxes are getting in at night and attacking the chickens. I shall have to kill them.,I shall have to kill The chickens.,0 (not entailment),I will have no choice but to eliminate the foxes.,"The foxes are causing harm to the chickens, so it is necessary for me to take action.",0.25,0.47,0.56,0.48,No,No,No
"Jackson was greatly influenced by Arnold, though he lived two centuries later.",Arnold lived two centuries later.,0 (not entailment),Jackson did not live two centuries later.,Jackson admired Arnold's military strategies and incorporated them into his own tactics.,0.11,0.5,0.23,0.33,No,No,No
"The dog chased the cat, which ran up a tree. It waited at the bottom.",The cat waited at the bottom.,0 (not entailment),The cat did not come down from the tree.,"The dog chased the cat, which ran up a tree. The dog barked loudly.",0.3,0.4,0.44,0.52,No,No,No
"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.","Each artisan still had signs, not wishing to lose a possible patron merely because the artisan happened to be illiterate.",0 (not entailment),"Each artisan wanted to ensure that potential customers could understand their services, so they continued to use signs even as literacy rates increased.","The artisans wanted to ensure that everyone, regardless of their literacy level, could easily identify the services they offered.",0.1,0.19,0.5,0.57,No,No,No
